path,label
data\picobanana\pos\008195.jpg,1
data\picobanana\neg\008195.jpg,0
data\picobanana\pos\004687.jpg,1
data\picobanana\neg\004687.jpg,0
data\picobanana\pos\007559.jpg,1
data\picobanana\neg\007559.jpg,0
data\picobanana\pos\003661.jpg,1
data\picobanana\neg\003661.jpg,0
data\picobanana\pos\010130.jpg,1
data\picobanana\neg\010130.jpg,0
data\picobanana\pos\007800.jpg,1
data\picobanana\neg\007800.jpg,0
data\picobanana\pos\002966.jpg,1
data\picobanana\neg\002966.jpg,0
data\picobanana\pos\008704.jpg,1
data\picobanana\neg\008704.jpg,0
data\picobanana\pos\010037.jpg,1
data\picobanana\neg\010037.jpg,0
data\picobanana\pos\004186.jpg,1
data\picobanana\neg\004186.jpg,0
data\picobanana\pos\004276.jpg,1
data\picobanana\neg\004276.jpg,0
data\picobanana\pos\004656.jpg,1
data\picobanana\neg\004656.jpg,0
data\picobanana\pos\004960.jpg,1
data\picobanana\neg\004960.jpg,0
data\picobanana\pos\004191.jpg,1
data\picobanana\neg\004191.jpg,0
data\picobanana\pos\004153.jpg,1
data\picobanana\neg\004153.jpg,0
data\picobanana\pos\007143.jpg,1
data\picobanana\neg\007143.jpg,0
data\picobanana\pos\001556.jpg,1
data\picobanana\neg\001556.jpg,0
data\picobanana\pos\009850.jpg,1
data\picobanana\neg\009850.jpg,0
data\picobanana\pos\004111.jpg,1
data\picobanana\neg\004111.jpg,0
data\picobanana\pos\004901.jpg,1
data\picobanana\neg\004901.jpg,0
data\picobanana\pos\008567.jpg,1
data\picobanana\neg\008567.jpg,0
data\picobanana\pos\003965.jpg,1
data\picobanana\neg\003965.jpg,0
data\picobanana\pos\000811.jpg,1
data\picobanana\neg\000811.jpg,0
data\picobanana\pos\010581.jpg,1
data\picobanana\neg\010581.jpg,0
data\picobanana\pos\001897.jpg,1
data\picobanana\neg\001897.jpg,0
data\picobanana\pos\006741.jpg,1
data\picobanana\neg\006741.jpg,0
data\picobanana\pos\010614.jpg,1
data\picobanana\neg\010614.jpg,0
data\picobanana\pos\011052.jpg,1
data\picobanana\neg\011052.jpg,0
data\picobanana\pos\009605.jpg,1
data\picobanana\neg\009605.jpg,0
data\picobanana\pos\007446.jpg,1
data\picobanana\neg\007446.jpg,0
data\picobanana\pos\004223.jpg,1
data\picobanana\neg\004223.jpg,0
data\picobanana\pos\004619.jpg,1
data\picobanana\neg\004619.jpg,0
data\picobanana\pos\009269.jpg,1
data\picobanana\neg\009269.jpg,0
data\picobanana\pos\003089.jpg,1
data\picobanana\neg\003089.jpg,0
data\picobanana\pos\008187.jpg,1
data\picobanana\neg\008187.jpg,0
data\picobanana\pos\009865.jpg,1
data\picobanana\neg\009865.jpg,0
data\picobanana\pos\010672.jpg,1
data\picobanana\neg\010672.jpg,0
data\picobanana\pos\010694.jpg,1
data\picobanana\neg\010694.jpg,0
data\picobanana\pos\007694.jpg,1
data\picobanana\neg\007694.jpg,0
data\picobanana\pos\004207.jpg,1
data\picobanana\neg\004207.jpg,0
data\picobanana\pos\007225.jpg,1
data\picobanana\neg\007225.jpg,0
data\picobanana\pos\008542.jpg,1
data\picobanana\neg\008542.jpg,0
data\picobanana\pos\007823.jpg,1
data\picobanana\neg\007823.jpg,0
data\picobanana\pos\004119.jpg,1
data\picobanana\neg\004119.jpg,0
data\picobanana\pos\009329.jpg,1
data\picobanana\neg\009329.jpg,0
data\picobanana\pos\010333.jpg,1
data\picobanana\neg\010333.jpg,0
data\picobanana\pos\007343.jpg,1
data\picobanana\neg\007343.jpg,0
data\picobanana\pos\007535.jpg,1
data\picobanana\neg\007535.jpg,0
data\picobanana\pos\010784.jpg,1
data\picobanana\neg\010784.jpg,0
data\picobanana\pos\003171.jpg,1
data\picobanana\neg\003171.jpg,0
data\picobanana\pos\003167.jpg,1
data\picobanana\neg\003167.jpg,0
data\picobanana\pos\004987.jpg,1
data\picobanana\neg\004987.jpg,0
data\picobanana\pos\010334.jpg,1
data\picobanana\neg\010334.jpg,0
data\picobanana\pos\009560.jpg,1
data\picobanana\neg\009560.jpg,0
data\picobanana\pos\003139.jpg,1
data\picobanana\neg\003139.jpg,0
data\picobanana\pos\003829.jpg,1
data\picobanana\neg\003829.jpg,0
data\picobanana\pos\000320.jpg,1
data\picobanana\neg\000320.jpg,0
data\picobanana\pos\007924.jpg,1
data\picobanana\neg\007924.jpg,0
data\picobanana\pos\007113.jpg,1
data\picobanana\neg\007113.jpg,0
data\picobanana\pos\010859.jpg,1
data\picobanana\neg\010859.jpg,0
data\picobanana\pos\002900.jpg,1
data\picobanana\neg\002900.jpg,0
data\picobanana\pos\007290.jpg,1
data\picobanana\neg\007290.jpg,0
data\picobanana\pos\000027.jpg,1
data\picobanana\neg\000027.jpg,0
data\picobanana\pos\000289.jpg,1
data\picobanana\neg\000289.jpg,0
data\picobanana\pos\000068.jpg,1
data\picobanana\neg\000068.jpg,0
data\picobanana\pos\009700.jpg,1
data\picobanana\neg\009700.jpg,0
data\picobanana\pos\003266.jpg,1
data\picobanana\neg\003266.jpg,0
data\picobanana\pos\005308.jpg,1
data\picobanana\neg\005308.jpg,0
data\picobanana\pos\006965.jpg,1
data\picobanana\neg\006965.jpg,0
data\picobanana\pos\005217.jpg,1
data\picobanana\neg\005217.jpg,0
data\picobanana\pos\008589.jpg,1
data\picobanana\neg\008589.jpg,0
data\picobanana\pos\005189.jpg,1
data\picobanana\neg\005189.jpg,0
data\picobanana\pos\007226.jpg,1
data\picobanana\neg\007226.jpg,0
data\picobanana\pos\000871.jpg,1
data\picobanana\neg\000871.jpg,0
data\picobanana\pos\007516.jpg,1
data\picobanana\neg\007516.jpg,0
data\picobanana\pos\004278.jpg,1
data\picobanana\neg\004278.jpg,0
data\picobanana\pos\006927.jpg,1
data\picobanana\neg\006927.jpg,0
data\picobanana\pos\009391.jpg,1
data\picobanana\neg\009391.jpg,0
data\picobanana\pos\009415.jpg,1
data\picobanana\neg\009415.jpg,0
data\picobanana\pos\004320.jpg,1
data\picobanana\neg\004320.jpg,0
data\picobanana\pos\009179.jpg,1
data\picobanana\neg\009179.jpg,0
data\picobanana\pos\003216.jpg,1
data\picobanana\neg\003216.jpg,0
data\picobanana\pos\007326.jpg,1
data\picobanana\neg\007326.jpg,0
data\picobanana\pos\005282.jpg,1
data\picobanana\neg\005282.jpg,0
data\picobanana\pos\008077.jpg,1
data\picobanana\neg\008077.jpg,0
data\picobanana\pos\004062.jpg,1
data\picobanana\neg\004062.jpg,0
data\picobanana\pos\001900.jpg,1
data\picobanana\neg\001900.jpg,0
data\picobanana\pos\003179.jpg,1
data\picobanana\neg\003179.jpg,0
data\picobanana\pos\003711.jpg,1
data\picobanana\neg\003711.jpg,0
data\picobanana\pos\000566.jpg,1
data\picobanana\neg\000566.jpg,0
data\picobanana\pos\003327.jpg,1
data\picobanana\neg\003327.jpg,0
data\picobanana\pos\003676.jpg,1
data\picobanana\neg\003676.jpg,0
data\picobanana\pos\009118.jpg,1
data\picobanana\neg\009118.jpg,0
data\picobanana\pos\006726.jpg,1
data\picobanana\neg\006726.jpg,0
data\picobanana\pos\005276.jpg,1
data\picobanana\neg\005276.jpg,0
data\picobanana\pos\010111.jpg,1
data\picobanana\neg\010111.jpg,0
data\picobanana\pos\000873.jpg,1
data\picobanana\neg\000873.jpg,0
data\picobanana\pos\009337.jpg,1
data\picobanana\neg\009337.jpg,0
data\picobanana\pos\004465.jpg,1
data\picobanana\neg\004465.jpg,0
data\picobanana\pos\009171.jpg,1
data\picobanana\neg\009171.jpg,0
data\picobanana\pos\011055.jpg,1
data\picobanana\neg\011055.jpg,0
data\picobanana\pos\009138.jpg,1
data\picobanana\neg\009138.jpg,0
data\picobanana\pos\000734.jpg,1
data\picobanana\neg\000734.jpg,0
data\picobanana\pos\008584.jpg,1
data\picobanana\neg\008584.jpg,0
data\picobanana\pos\008819.jpg,1
data\picobanana\neg\008819.jpg,0
data\picobanana\pos\009265.jpg,1
data\picobanana\neg\009265.jpg,0
data\picobanana\pos\000396.jpg,1
data\picobanana\neg\000396.jpg,0
data\picobanana\pos\007129.jpg,1
data\picobanana\neg\007129.jpg,0
data\picobanana\pos\005495.jpg,1
data\picobanana\neg\005495.jpg,0
data\picobanana\pos\004606.jpg,1
data\picobanana\neg\004606.jpg,0
data\picobanana\pos\011135.jpg,1
data\picobanana\neg\011135.jpg,0
data\picobanana\pos\006717.jpg,1
data\picobanana\neg\006717.jpg,0
data\picobanana\pos\000879.jpg,1
data\picobanana\neg\000879.jpg,0
data\picobanana\pos\004085.jpg,1
data\picobanana\neg\004085.jpg,0
data\picobanana\pos\004677.jpg,1
data\picobanana\neg\004677.jpg,0
data\picobanana\pos\005248.jpg,1
data\picobanana\neg\005248.jpg,0
data\picobanana\pos\007659.jpg,1
data\picobanana\neg\007659.jpg,0
data\picobanana\pos\011103.jpg,1
data\picobanana\neg\011103.jpg,0
data\picobanana\pos\000633.jpg,1
data\picobanana\neg\000633.jpg,0
data\picobanana\pos\008088.jpg,1
data\picobanana\neg\008088.jpg,0
data\picobanana\pos\000138.jpg,1
data\picobanana\neg\000138.jpg,0
data\picobanana\pos\005159.jpg,1
data\picobanana\neg\005159.jpg,0
data\picobanana\pos\004310.jpg,1
data\picobanana\neg\004310.jpg,0
data\picobanana\pos\008241.jpg,1
data\picobanana\neg\008241.jpg,0
data\picobanana\pos\003655.jpg,1
data\picobanana\neg\003655.jpg,0
data\picobanana\pos\003134.jpg,1
data\picobanana\neg\003134.jpg,0
data\picobanana\pos\000556.jpg,1
data\picobanana\neg\000556.jpg,0
data\picobanana\pos\001706.jpg,1
data\picobanana\neg\001706.jpg,0
data\picobanana\pos\011090.jpg,1
data\picobanana\neg\011090.jpg,0
data\picobanana\pos\002970.jpg,1
data\picobanana\neg\002970.jpg,0
data\picobanana\pos\004323.jpg,1
data\picobanana\neg\004323.jpg,0
data\picobanana\pos\005306.jpg,1
data\picobanana\neg\005306.jpg,0
data\picobanana\pos\005114.jpg,1
data\picobanana\neg\005114.jpg,0
data\picobanana\pos\007830.jpg,1
data\picobanana\neg\007830.jpg,0
data\picobanana\pos\010727.jpg,1
data\picobanana\neg\010727.jpg,0
data\picobanana\pos\003183.jpg,1
data\picobanana\neg\003183.jpg,0
data\picobanana\pos\010265.jpg,1
data\picobanana\neg\010265.jpg,0
data\picobanana\pos\010138.jpg,1
data\picobanana\neg\010138.jpg,0
data\picobanana\pos\008749.jpg,1
data\picobanana\neg\008749.jpg,0
data\picobanana\pos\006973.jpg,1
data\picobanana\neg\006973.jpg,0
data\picobanana\pos\011074.jpg,1
data\picobanana\neg\011074.jpg,0
data\picobanana\pos\000437.jpg,1
data\picobanana\neg\000437.jpg,0
data\picobanana\pos\004435.jpg,1
data\picobanana\neg\004435.jpg,0
data\picobanana\pos\010355.jpg,1
data\picobanana\neg\010355.jpg,0
data\picobanana\pos\007956.jpg,1
data\picobanana\neg\007956.jpg,0
data\picobanana\pos\006907.jpg,1
data\picobanana\neg\006907.jpg,0
data\picobanana\pos\007318.jpg,1
data\picobanana\neg\007318.jpg,0
data\picobanana\pos\007126.jpg,1
data\picobanana\neg\007126.jpg,0
data\picobanana\pos\003746.jpg,1
data\picobanana\neg\003746.jpg,0
data\picobanana\pos\010337.jpg,1
data\picobanana\neg\010337.jpg,0
data\picobanana\pos\009161.jpg,1
data\picobanana\neg\009161.jpg,0
data\picobanana\pos\001569.jpg,1
data\picobanana\neg\001569.jpg,0
data\picobanana\pos\008080.jpg,1
data\picobanana\neg\008080.jpg,0
data\picobanana\pos\005469.jpg,1
data\picobanana\neg\005469.jpg,0
data\picobanana\pos\007296.jpg,1
data\picobanana\neg\007296.jpg,0
data\picobanana\pos\007663.jpg,1
data\picobanana\neg\007663.jpg,0
data\picobanana\pos\006994.jpg,1
data\picobanana\neg\006994.jpg,0
data\picobanana\pos\005294.jpg,1
data\picobanana\neg\005294.jpg,0
data\picobanana\pos\007183.jpg,1
data\picobanana\neg\007183.jpg,0
data\picobanana\pos\010162.jpg,1
data\picobanana\neg\010162.jpg,0
data\picobanana\pos\008138.jpg,1
data\picobanana\neg\008138.jpg,0
data\picobanana\pos\010695.jpg,1
data\picobanana\neg\010695.jpg,0
data\picobanana\pos\004185.jpg,1
data\picobanana\neg\004185.jpg,0
data\picobanana\pos\010239.jpg,1
data\picobanana\neg\010239.jpg,0
data\picobanana\pos\001780.jpg,1
data\picobanana\neg\001780.jpg,0
data\picobanana\pos\009554.jpg,1
data\picobanana\neg\009554.jpg,0
data\picobanana\pos\000167.jpg,1
data\picobanana\neg\000167.jpg,0
data\picobanana\pos\007236.jpg,1
data\picobanana\neg\007236.jpg,0
data\picobanana\pos\009975.jpg,1
data\picobanana\neg\009975.jpg,0
data\picobanana\pos\006904.jpg,1
data\picobanana\neg\006904.jpg,0
data\picobanana\pos\000183.jpg,1
data\picobanana\neg\000183.jpg,0
data\picobanana\pos\010350.jpg,1
data\picobanana\neg\010350.jpg,0
data\picobanana\pos\008612.jpg,1
data\picobanana\neg\008612.jpg,0
data\picobanana\pos\004597.jpg,1
data\picobanana\neg\004597.jpg,0
data\picobanana\pos\000306.jpg,1
data\picobanana\neg\000306.jpg,0
data\picobanana\pos\009942.jpg,1
data\picobanana\neg\009942.jpg,0
data\picobanana\pos\007675.jpg,1
data\picobanana\neg\007675.jpg,0
data\picobanana\pos\010924.jpg,1
data\picobanana\neg\010924.jpg,0
data\picobanana\pos\000622.jpg,1
data\picobanana\neg\000622.jpg,0
data\picobanana\pos\005602.jpg,1
data\picobanana\neg\005602.jpg,0
data\picobanana\pos\001782.jpg,1
data\picobanana\neg\001782.jpg,0
data\picobanana\pos\009830.jpg,1
data\picobanana\neg\009830.jpg,0
data\picobanana\pos\009193.jpg,1
data\picobanana\neg\009193.jpg,0
data\picobanana\pos\009581.jpg,1
data\picobanana\neg\009581.jpg,0
data\picobanana\pos\008222.jpg,1
data\picobanana\neg\008222.jpg,0
data\picobanana\pos\010274.jpg,1
data\picobanana\neg\010274.jpg,0
data\picobanana\pos\011077.jpg,1
data\picobanana\neg\011077.jpg,0
data\picobanana\pos\010061.jpg,1
data\picobanana\neg\010061.jpg,0
data\picobanana\pos\009492.jpg,1
data\picobanana\neg\009492.jpg,0
data\picobanana\pos\000187.jpg,1
data\picobanana\neg\000187.jpg,0
data\picobanana\pos\010933.jpg,1
data\picobanana\neg\010933.jpg,0
data\picobanana\pos\008835.jpg,1
data\picobanana\neg\008835.jpg,0
data\picobanana\pos\010186.jpg,1
data\picobanana\neg\010186.jpg,0
data\picobanana\pos\000016.jpg,1
data\picobanana\neg\000016.jpg,0
data\picobanana\pos\002828.jpg,1
data\picobanana\neg\002828.jpg,0
data\picobanana\pos\004176.jpg,1
data\picobanana\neg\004176.jpg,0
data\picobanana\pos\004800.jpg,1
data\picobanana\neg\004800.jpg,0
data\picobanana\pos\003465.jpg,1
data\picobanana\neg\003465.jpg,0
data\picobanana\pos\010869.jpg,1
data\picobanana\neg\010869.jpg,0
data\picobanana\pos\010045.jpg,1
data\picobanana\neg\010045.jpg,0
data\picobanana\pos\000052.jpg,1
data\picobanana\neg\000052.jpg,0
data\picobanana\pos\007434.jpg,1
data\picobanana\neg\007434.jpg,0
data\picobanana\pos\009487.jpg,1
data\picobanana\neg\009487.jpg,0
data\picobanana\pos\009543.jpg,1
data\picobanana\neg\009543.jpg,0
data\picobanana\pos\008485.jpg,1
data\picobanana\neg\008485.jpg,0
data\picobanana\pos\008863.jpg,1
data\picobanana\neg\008863.jpg,0
data\picobanana\pos\003626.jpg,1
data\picobanana\neg\003626.jpg,0
data\picobanana\pos\004088.jpg,1
data\picobanana\neg\004088.jpg,0
data\picobanana\pos\007300.jpg,1
data\picobanana\neg\007300.jpg,0
data\picobanana\pos\005216.jpg,1
data\picobanana\neg\005216.jpg,0
data\picobanana\pos\001588.jpg,1
data\picobanana\neg\001588.jpg,0
data\picobanana\pos\000202.jpg,1
data\picobanana\neg\000202.jpg,0
data\picobanana\pos\000743.jpg,1
data\picobanana\neg\000743.jpg,0
data\picobanana\pos\009515.jpg,1
data\picobanana\neg\009515.jpg,0
data\picobanana\pos\000251.jpg,1
data\picobanana\neg\000251.jpg,0
data\picobanana\pos\003487.jpg,1
data\picobanana\neg\003487.jpg,0
data\picobanana\pos\008385.jpg,1
data\picobanana\neg\008385.jpg,0
data\picobanana\pos\007801.jpg,1
data\picobanana\neg\007801.jpg,0
data\picobanana\pos\000328.jpg,1
data\picobanana\neg\000328.jpg,0
data\picobanana\pos\004763.jpg,1
data\picobanana\neg\004763.jpg,0
data\picobanana\pos\001618.jpg,1
data\picobanana\neg\001618.jpg,0
data\picobanana\pos\002812.jpg,1
data\picobanana\neg\002812.jpg,0
data\picobanana\pos\002816.jpg,1
data\picobanana\neg\002816.jpg,0
data\picobanana\pos\009692.jpg,1
data\picobanana\neg\009692.jpg,0
data\picobanana\pos\004254.jpg,1
data\picobanana\neg\004254.jpg,0
data\picobanana\pos\004520.jpg,1
data\picobanana\neg\004520.jpg,0
data\picobanana\pos\009222.jpg,1
data\picobanana\neg\009222.jpg,0
data\picobanana\pos\004711.jpg,1
data\picobanana\neg\004711.jpg,0
data\picobanana\pos\003751.jpg,1
data\picobanana\neg\003751.jpg,0
data\picobanana\pos\007904.jpg,1
data\picobanana\neg\007904.jpg,0
data\picobanana\pos\002823.jpg,1
data\picobanana\neg\002823.jpg,0
data\picobanana\pos\007375.jpg,1
data\picobanana\neg\007375.jpg,0
data\picobanana\pos\009642.jpg,1
data\picobanana\neg\009642.jpg,0
data\picobanana\pos\008215.jpg,1
data\picobanana\neg\008215.jpg,0
data\picobanana\pos\004131.jpg,1
data\picobanana\neg\004131.jpg,0
data\picobanana\pos\011112.jpg,1
data\picobanana\neg\011112.jpg,0
data\picobanana\pos\010865.jpg,1
data\picobanana\neg\010865.jpg,0
data\picobanana\pos\000641.jpg,1
data\picobanana\neg\000641.jpg,0
data\picobanana\pos\008185.jpg,1
data\picobanana\neg\008185.jpg,0
data\picobanana\pos\007966.jpg,1
data\picobanana\neg\007966.jpg,0
data\picobanana\pos\006833.jpg,1
data\picobanana\neg\006833.jpg,0
data\picobanana\pos\003264.jpg,1
data\picobanana\neg\003264.jpg,0
data\picobanana\pos\004081.jpg,1
data\picobanana\neg\004081.jpg,0
data\picobanana\pos\005442.jpg,1
data\picobanana\neg\005442.jpg,0
data\picobanana\pos\010008.jpg,1
data\picobanana\neg\010008.jpg,0
data\picobanana\pos\001926.jpg,1
data\picobanana\neg\001926.jpg,0
data\picobanana\pos\003356.jpg,1
data\picobanana\neg\003356.jpg,0
data\picobanana\pos\005223.jpg,1
data\picobanana\neg\005223.jpg,0
data\picobanana\pos\000653.jpg,1
data\picobanana\neg\000653.jpg,0
data\picobanana\pos\001781.jpg,1
data\picobanana\neg\001781.jpg,0
data\picobanana\pos\004126.jpg,1
data\picobanana\neg\004126.jpg,0
data\picobanana\pos\000302.jpg,1
data\picobanana\neg\000302.jpg,0
data\picobanana\pos\008496.jpg,1
data\picobanana\neg\008496.jpg,0
data\picobanana\pos\009715.jpg,1
data\picobanana\neg\009715.jpg,0
data\picobanana\pos\003159.jpg,1
data\picobanana\neg\003159.jpg,0
data\picobanana\pos\000374.jpg,1
data\picobanana\neg\000374.jpg,0
data\picobanana\pos\007550.jpg,1
data\picobanana\neg\007550.jpg,0
data\picobanana\pos\003990.jpg,1
data\picobanana\neg\003990.jpg,0
data\picobanana\pos\008703.jpg,1
data\picobanana\neg\008703.jpg,0
data\picobanana\pos\009499.jpg,1
data\picobanana\neg\009499.jpg,0
data\picobanana\pos\010223.jpg,1
data\picobanana\neg\010223.jpg,0
data\picobanana\pos\004044.jpg,1
data\picobanana\neg\004044.jpg,0
data\picobanana\pos\003416.jpg,1
data\picobanana\neg\003416.jpg,0
data\picobanana\pos\004715.jpg,1
data\picobanana\neg\004715.jpg,0
data\picobanana\pos\009381.jpg,1
data\picobanana\neg\009381.jpg,0
data\picobanana\pos\010028.jpg,1
data\picobanana\neg\010028.jpg,0
data\picobanana\pos\004751.jpg,1
data\picobanana\neg\004751.jpg,0
data\picobanana\pos\010675.jpg,1
data\picobanana\neg\010675.jpg,0
data\picobanana\pos\010022.jpg,1
data\picobanana\neg\010022.jpg,0
data\picobanana\pos\004815.jpg,1
data\picobanana\neg\004815.jpg,0
data\picobanana\pos\009165.jpg,1
data\picobanana\neg\009165.jpg,0
data\picobanana\pos\007971.jpg,1
data\picobanana\neg\007971.jpg,0
data\picobanana\pos\004910.jpg,1
data\picobanana\neg\004910.jpg,0
data\picobanana\pos\004982.jpg,1
data\picobanana\neg\004982.jpg,0
data\picobanana\pos\007624.jpg,1
data\picobanana\neg\007624.jpg,0
data\picobanana\pos\004971.jpg,1
data\picobanana\neg\004971.jpg,0
data\picobanana\pos\009576.jpg,1
data\picobanana\neg\009576.jpg,0
data\picobanana\pos\003528.jpg,1
data\picobanana\neg\003528.jpg,0
data\picobanana\pos\003968.jpg,1
data\picobanana\neg\003968.jpg,0
data\picobanana\pos\008040.jpg,1
data\picobanana\neg\008040.jpg,0
data\picobanana\pos\003136.jpg,1
data\picobanana\neg\003136.jpg,0
data\picobanana\pos\008780.jpg,1
data\picobanana\neg\008780.jpg,0
data\picobanana\pos\004586.jpg,1
data\picobanana\neg\004586.jpg,0
data\picobanana\pos\008209.jpg,1
data\picobanana\neg\008209.jpg,0
data\picobanana\pos\000342.jpg,1
data\picobanana\neg\000342.jpg,0
data\picobanana\pos\009190.jpg,1
data\picobanana\neg\009190.jpg,0
data\picobanana\pos\003225.jpg,1
data\picobanana\neg\003225.jpg,0
data\picobanana\pos\002811.jpg,1
data\picobanana\neg\002811.jpg,0
data\picobanana\pos\008530.jpg,1
data\picobanana\neg\008530.jpg,0
data\picobanana\pos\009816.jpg,1
data\picobanana\neg\009816.jpg,0
data\picobanana\pos\000629.jpg,1
data\picobanana\neg\000629.jpg,0
data\picobanana\pos\007028.jpg,1
data\picobanana\neg\007028.jpg,0
data\picobanana\pos\004622.jpg,1
data\picobanana\neg\004622.jpg,0
data\picobanana\pos\007609.jpg,1
data\picobanana\neg\007609.jpg,0
data\picobanana\pos\003297.jpg,1
data\picobanana\neg\003297.jpg,0
data\picobanana\pos\010069.jpg,1
data\picobanana\neg\010069.jpg,0
data\picobanana\pos\001890.jpg,1
data\picobanana\neg\001890.jpg,0
data\picobanana\pos\003807.jpg,1
data\picobanana\neg\003807.jpg,0
data\picobanana\pos\009602.jpg,1
data\picobanana\neg\009602.jpg,0
data\picobanana\pos\005610.jpg,1
data\picobanana\neg\005610.jpg,0
data\picobanana\pos\009873.jpg,1
data\picobanana\neg\009873.jpg,0
